,OPEN,HIGH,LOW,CLOSE,RSI
2014-07-25 00:00:00.005,2108.714,2127.217,2106.714,2126.614,0.0
2014-07-28 00:00:00.005,2135.249,2181.496,2135.249,2177.948,0.0
2014-07-29 00:00:00.005,2179.826,2193.523,2172.102,2183.192,0.0
2014-07-30 00:00:00.005,2178.179,2194.572,2177.244,2181.243,0.0
2014-07-31 00:00:00.005,2179.543,2202.126,2173.9,2201.562,0.0
2014-08-01 00:00:00.005,2194.17,2218.789,2184.641,2185.303,0.0
2014-08-04 00:00:00.005,2190.036,2224.068,2186.917,2223.331,0.0
2014-08-05 00:00:00.005,2224.632,2226.838,2206.85,2219.945,0.0
2014-08-06 00:00:00.005,2212.003,2223.893,2192.993,2217.465,0.0
2014-08-07 00:00:00.005,2216.659,2220.568,2185.763,2187.669,0.0
2014-08-08 00:00:00.005,2188.709,2199.578,2180.597,2194.425,0.0
2014-08-11 00:00:00.005,2199.433,2225.961,2198.314,2224.654,0.0
2014-08-12 00:00:00.005,2222.696,2222.979,2210.0,2221.595,0.0
2014-08-13 00:00:00.005,2223.051,2230.991,2202.443,2222.877,0.0
2014-08-14 00:00:00.005,2221.541,2230.894,2204.384,2206.466,0.0
2014-08-15 00:00:00.005,2207.226,2230.872,2203.242,2226.734,0.0
2014-08-18 00:00:00.005,2229.804,2242.035,2228.134,2239.466,0.0
2014-08-19 00:00:00.005,2242.34,2246.016,2227.925,2245.33,0.0
2014-08-20 00:00:00.005,2241.664,2248.939,2233.892,2240.211,0.0
2014-08-21 00:00:00.005,2239.568,2240.077,2211.63,2230.458,0.0
2014-08-22 00:00:00.005,2228.974,2243.303,2225.267,2240.812,0.0
2014-08-25 00:00:00.005,2241.1,2241.553,2222.009,2229.274,0.0
2014-08-26 00:00:00.005,2225.291,2232.785,2200.618,2207.106,0.0
2014-08-27 00:00:00.005,2207.03,2216.67,2204.048,2209.465,0.0
2014-08-28 00:00:00.005,2210.484,2219.473,2194.861,2195.818,0.0
2014-08-29 00:00:00.005,2198.946,2218.696,2193.263,2217.2,0.0
2014-09-01 00:00:00.005,2220.129,2236.286,2217.685,2235.511,0.0
2014-09-02 00:00:00.005,2239.684,2267.509,2234.378,2266.046,0.0
2014-09-03 00:00:00.005,2268.395,2290.547,2268.1,2288.627,0.0
2014-09-04 00:00:00.005,2290.029,2307.701,2283.277,2306.862,0.0
2014-09-05 00:00:00.005,2311.305,2327.557,2307.447,2326.432,0.0
2014-09-09 00:00:00.005,2328.426,2331.917,2315.894,2326.527,0.0
2014-09-10 00:00:00.005,2318.496,2321.908,2306.421,2318.305,0.0
2014-09-11 00:00:00.005,2315.732,2343.595,2304.602,2311.679,0.0
2014-09-12 00:00:00.005,2308.346,2331.95,2302.775,2331.95,0.0
2014-09-15 00:00:00.005,2330.187,2340.449,2321.593,2339.14,0.0
2014-09-16 00:00:00.005,2341.027,2347.935,2293.869,2296.555,0.0
2014-09-17 00:00:00.005,2298.982,2309.048,2282.795,2307.893,0.0
2014-09-18 00:00:00.005,2303.85,2319.875,2297.931,2315.928,0.0
